#{"t_start": 1615009006.4983943, "env_id": "NovelGridworld-v0"}
r,l,t
-216,267,1.512111
-84,135,1.681754
3,48,1.7294
49,2,1.732579
-95,146,1.915701
37,14,1.935401
20,31,1.981402
50,1,1.98276
-274,325,2.360923
-24,75,2.465144
-107,158,2.652788
-21,72,2.73147
44,7,2.762475
20,31,2.796522
12,39,2.844711
-55,106,2.974665
-239,290,3.338205
-345,396,3.811204
-5,56,3.895837
29,22,3.916049
-621,672,4.745151
-2,53,4.82356
50,1,4.825007
-6,57,4.887841
30,21,4.907954
27,24,4.933839
-43,94,5.050122
22,29,5.076256
-63,114,5.198894
1,50,5.266182
6,45,5.306747
-100,151,5.489023
50,1,5.49105
-170,221,5.769861
-2,53,5.830832
-46,97,5.948065
-11,62,6.012807
35,16,6.051431
19,32,6.08742
-65,116,6.229738
44,7,6.236195
-27,78,6.320508
-2,53,6.393795
1,50,6.457819
-8,59,6.533895
34,17,6.552601
26,25,6.580004
-47,98,6.718905
-1,52,6.775306
49,2,6.778094
35,16,6.796859
20,31,6.854837
-70,121,7.011842
21,30,7.044558
49,2,7.04765
12,39,7.09051
41,10,7.099293
50,1,7.100898
25,26,7.128743
-41,92,7.253125
48,3,7.256054
44,7,7.261951
32,19,7.281131
-25,76,7.390421
43,8,7.400703
33,18,7.423176
-38,89,7.541479
34,17,7.561539
36,15,7.577807
46,5,7.584025
7,44,7.636195
47,4,7.640455
42,9,7.666789
44,7,7.673333
49,2,7.675971
28,23,7.701217
46,5,7.708349
38,13,7.737589
40,11,7.748302
48,3,7.751518
31,20,7.769313
-2,53,7.851314
35,16,7.876179
18,33,7.905632
36,15,7.92409
39,12,7.941162
43,8,7.952504
29,22,7.977432
38,13,8.02145
47,4,8.025868
34,17,8.045587
45,6,8.053406
39,12,8.063518
43,8,8.07164
30,21,8.092979
15,36,8.13742
41,10,8.147692
37,14,8.178989
25,26,8.20589
36,15,8.22287
40,11,8.237275
41,10,8.250746
42,9,8.270418
43,8,8.277643
26,25,8.30001
37,14,8.311086
26,25,8.353589
47,4,8.357903
42,9,8.367761
48,3,8.371885
41,10,8.395093
38,13,8.406224
37,14,8.419355
48,3,8.422296
47,4,8.42631
43,8,8.434616
48,3,8.438585
44,7,8.449019
38,13,8.461767
49,2,8.464511
38,13,8.48003
40,11,8.514718
25,26,8.550026
47,4,8.554398
43,8,8.563306
45,6,8.569041
31,20,8.589384
40,11,8.603054
43,8,8.615309
46,5,8.622842
23,28,8.656534
27,24,8.699639
47,4,8.705587
49,2,8.709067
37,14,8.724201
44,7,8.733087
19,32,8.76705
17,34,8.809402
33,18,8.848759
6,45,8.894394
39,12,8.920204
36,15,8.932927
48,3,8.936495
36,15,8.9518
31,20,8.96962
48,3,8.973253
24,27,9.022285
9,42,9.072433
30,21,9.095622
41,10,9.107039
45,6,9.116313
27,24,9.152301
34,17,9.192653
44,7,9.19953
49,2,9.20197
42,9,9.211362
45,6,9.218914
44,7,9.228852
39,12,9.246265
43,8,9.254854
40,11,9.266635
47,4,9.271482
10,41,9.32805
33,18,9.36706
48,3,9.370334
43,8,9.378632
50,1,9.380496
44,7,9.389736
44,7,9.39959
25,26,9.427598
