#{"t_start": 1652661317.3871212, "env_id": "NovelGridworld-v0"}
r,l,t
-330,151,0.825999
-305,150,1.117596
-1363,440,1.968596
-526,254,2.475595
-790,308,3.092595
-377,146,3.379595
-695,272,3.907595
-657,272,4.435595
-1115,396,5.228594
300,36,5.299595
-1837,572,6.421214
-707,299,7.021791
-176,151,7.315791
-1146,425,8.157791
132,91,8.333789
-415,204,8.744791
-636,284,9.304791
-519,231,9.762791
-271,157,10.066791
145,26,10.116791
-119,99,10.314791
-100,118,10.560791
-89,158,10.866791
151,19,10.90779
-816,323,11.547394
-315,201,12.020393
-352,130,12.266393
-18,107,12.482656
-118,74,12.622656
-594,210,13.030656
34,78,13.189657
-397,217,13.631656
-283,170,13.971655
110,58,14.093655
66,88,14.268655
-459,220,14.727655
300,37,14.800655
236,16,14.835656
67,95,15.026655
201,61,15.143655
196,59,15.264656
191,17,15.294656
46,80,15.452654
205,42,15.536655
245,40,15.616655
-85,144,15.903655
76,60,16.022253
209,25,16.073253
188,17,16.109251
260,16,16.138252
156,26,16.193253
181,43,16.281252
235,28,16.341252
221,32,16.404253
203,31,16.480252
263,15,16.512252
207,51,16.611839
188,33,16.678839
98,55,16.787839
171,20,16.827839
141,68,16.95984
152,53,17.060838
200,51,17.156838
277,32,17.224839
-109,126,17.487839
133,44,17.57484
221,12,17.59684
154,80,17.75884
200,30,17.81684
272,12,17.844838
302,19,17.87784
-66,51,17.982839
191,42,18.064839
293,23,18.112839
231,25,18.159839
222,9,18.177839
375,25,18.229839
256,34,18.29684
275,11,18.320839
216,17,18.357839
197,13,18.381839
284,8,18.401839
268,12,18.423839
154,74,18.586839
283,22,18.630839
281,9,18.645839
224,22,18.693839
275,13,18.720839
259,29,18.786838
250,18,18.81984
274,12,18.84384
331,27,18.89484
205,12,18.919838
189,20,18.958839
266,13,18.983839
339,20,19.024839
286,22,19.06584
233,8,19.084839
281,9,19.099838
185,30,19.157839
156,22,19.20384
230,46,19.295839
219,21,19.338839
193,67,19.47584
75,108,19.687839
215,13,19.71484
183,43,19.80084
281,9,19.819839
212,11,19.842839
220,23,19.888839
237,18,19.927839
30,110,20.14884
325,29,20.204839
241,19,20.244839
193,44,20.328839
281,9,20.350839
292,18,20.383839
212,10,20.404838
275,11,20.430839
251,32,20.490839
292,19,20.544839
312,47,20.637839
333,22,20.684838
298,17,20.716838
276,10,20.736839
274,23,20.785839
266,13,20.809839
276,10,20.829839
281,9,20.85084
232,34,20.917839
275,11,20.940839
329,27,20.989451
281,9,21.00645
253,19,21.04745
262,14,21.074451
305,20,21.11545
296,21,21.15445
267,40,21.23345
281,24,21.284449
219,14,21.311449
287,19,21.34745
223,44,21.43645
387,21,21.475449
219,9,21.493451
219,9,21.515449
219,10,21.53445
248,30,21.594451
214,11,21.615449
315,28,21.67045
229,40,21.747451
281,9,21.76945
263,35,21.83845
187,18,21.874449
271,27,21.92845
284,22,21.97245
196,16,22.002451
284,8,22.02045
255,40,22.10245
227,18,22.137451
175,22,22.18145
269,13,22.208451
285,24,22.256451
285,24,22.302449
280,21,22.345451
265,15,22.375451
303,15,22.40545
284,20,22.44645
281,9,22.465449
272,39,22.562449
222,9,22.583451
245,19,22.619451
185,18,22.65445
258,16,22.687451
313,16,22.71745
214,11,22.742451
293,17,22.77645
216,10,22.796451
264,14,22.823452
241,20,22.866451
229,20,22.90345
281,9,22.92145
194,57,23.034451
284,8,23.05245
218,48,23.14645
261,15,23.17445
343,21,23.21645
143,82,23.38445
202,14,23.413451
278,10,23.43745
264,14,23.461451
188,46,23.553451
222,9,23.56845
275,25,23.619451
264,14,23.649451
209,11,23.671449
213,11,23.697451
281,9,23.71245
261,31,23.776451
281,9,23.791449
281,9,23.81145
305,17,23.84745
257,17,23.883451
275,11,23.903452
369,26,23.955451
281,9,23.973451
202,14,24.00145
296,18,24.040451
338,27,24.09445
219,10,24.116451
280,22,24.15945
223,42,24.243451
222,9,24.26345
278,10,24.283451
247,46,24.37945
390,20,24.423456
213,11,24.449451
293,24,24.49545
222,8,24.509451
281,9,24.530451
291,34,24.614452
281,9,24.63445
315,35,24.706449
359,17,24.73745
284,8,24.75645
267,13,24.783451
225,20,24.823451
281,9,24.84145
387,21,24.883451
234,17,24.91745
384,22,24.96145
261,15,24.98845
219,10,25.00745
300,16,25.041451
216,10,25.06145
278,10,25.08245
199,15,25.112451
390,20,25.15345
333,22,25.19845
222,8,25.21645
282,20,25.253449
216,10,25.27745
284,8,25.29445
219,9,25.31245
214,11,25.33345
313,30,25.39345
214,11,25.415451
390,20,25.457451
